1;08.09.2014;704/2014;14;2
2;08.09.2014;312/2012;14;4
3;08.09.2014;649/2013;13;5
4;08.09.2014;228/2011;16;4
5;09.09.2014;684/2013;19;5
6;10.09.2014;701/2014;12;3
7;11.09.2014;573/2013;15;3
8;11.09.2014;876/2014;11;2
9;11.09.2014;605/2013;14;5
10;12.09.2014;697/2013;20;4
11;12.09.2014;741/2014;9;2
12;12.09.2014;522/2013;16;3
13;12.09.2014;395/2012;7;3
14;12.09.2014;709/2014;14;4
15;12.09.2014;721/2014;22;4
16;12.09.2014;582/2013;14;2
17;12.09.2014;677/2013;13;2
18;12.09.2014;614/2013;16;2
19;12.09.2014;236/2011;21;4
20;12.09.2014;457/2012;21;3
21;12.09.2014;767/2014;13;3
22;12.09.2014;242/2011;16;4
23;12.09.2014;657/2013;2;1
24;12.09.2014;711/2014;4;3
25;12.09.2014;604/2013;12;2
26;12.09.2014;790/2014;9;4
27;12.09.2014;637/2013;12;4
28;12.09.2014;201/2011;12;5
29;12.09.2014;377/2012;7;3
30;12.09.2014;740/2014;11;3
31;12.09.2014;805/2014;7;2
32;12.09.2014;632/2013;12;3
33;12.09.2014;127/2011;12;2
34;12.09.2014;632/2013;12;5
35;12.09.2014;675/2013;19;4
36;12.09.2014;629/2013;14;2
37;12.09.2014;557/2013;13;3
38;15.09.2014;806/2014;16;3
39;15.09.2014;871/2014;27;5
40;15.09.2014;352/2012;10;5
41;15.09.2014;336/2012;12;6
42;15.09.2014;814/2014;25;2
43;15.09.2014;873/2014;16;4
44;15.09.2014;461/2012;13;2
45;15.09.2014;465/2012;26;4
46;15.09.2014;869/2014;22;5
47;15.09.2014;366/2012;12;4
48;15.09.2014;781/2014;6;5
49;15.09.2014;799/2014;4;4
50;15.09.2014;616/2013;11;4
51;15.09.2014;321/2012;13;2
52;15.09.2014;448/2012;10;5
53;15.09.2014;829/2014;25;2
54;15.09.2014;406/2012;10;2
55;15.09.2014;775/2014;16;5
56;15.09.2014;349/2012;7;6
57;15.09.2014;660/2013;26;4
58;15.09.2014;721/2014;24;2
59;15.09.2014;832/2014;24;2
60;15.09.2014;717/2014;7;2
61;15.09.2014;773/2014;5;5
62;15.09.2014;513/2012;7;3
63;15.09.2014;591/2013;7;4
64;15.09.2014;362/2012;13;5
